IncidentId,TicketStatus,ClosedDate,IsSynthetic,Provenance
682747470,Fulfilled,2025-11-03,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
684678783,Fulfilled,2026-01-23,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
689538401,Fulfilled,2025-12-24,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
692794676,Fulfilled,2025-10-08,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
699110661,Rejected,2026-01-28,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
700371734,Fulfilled,2025-12-06,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
703285188,Fulfilled,2025-11-06,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
706242954,Fulfilled,2025-11-20,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
707103679,Fulfilled,2026-01-11,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
709269327,Fulfilled,2025-11-04,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
710674438,Fulfilled,2025-11-03,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
712862703,Rejected,2026-01-28,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
714806332,Fulfilled,2026-01-14,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
723020082,InProgress,,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
724185777,Fulfilled,2025-09-14,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
730302462,Fulfilled,2025-11-02,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
735797388,InProgress,,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
736279761,Fulfilled,2025-10-21,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
740333417,Fulfilled,2025-11-01,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
750292587,Rejected,2026-01-28,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
756640927,InProgress,,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
756813979,Fulfilled,2025-09-15,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
768749210,Rejected,2026-01-28,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
770450686,Fulfilled,2025-12-28,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
771798626,Fulfilled,2025-12-29,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
772196443,Fulfilled,2025-09-09,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
778304945,Fulfilled,2025-11-17,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
779017700,Fulfilled,2026-01-20,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
779278163,Fulfilled,2025-11-07,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
792632554,Fulfilled,2026-01-04,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
795709809,Rejected,2026-01-28,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
799165706,Fulfilled,2025-12-20,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
