WorkspaceId,WorkloadName,CapacityId,Region,FabricWorkloadType,ShareOfCapacityPct,IsSynthetic,Provenance
southcentralus-dc03-cap01-ws01,Marketing-Analytics,southcentralus-dc03-cap01,southcentralus,Data Factory,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc03-cap02-ws01,Supply-Chain,southcentralus-dc03-cap02,southcentralus,Data Factory,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc03-cap03-ws01,Sales-BI,southcentralus-dc03-cap03,southcentralus,Data Science,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc03-cap04-ws01,Data-Platform,southcentralus-dc03-cap04,southcentralus,Data Factory,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc03-cap05-ws01,Data-Platform,southcentralus-dc03-cap05,southcentralus,Data Science,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc04-cap01-ws01,Data-Platform,southcentralus-dc04-cap01,southcentralus,Real-Time Intelligence,16.7,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc04-cap01-ws02,Risk-Models,southcentralus-dc04-cap01,southcentralus,Data Engineering,80.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc04-cap01-ws03,Field-Ops,southcentralus-dc04-cap01,southcentralus,Data Warehouse,3.3,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc05-cap01-ws01,Field-Ops,southcentralus-dc05-cap01,southcentralus,Real-Time Intelligence,41.9,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc05-cap01-ws02,Sales-BI,southcentralus-dc05-cap01,southcentralus,Data Factory,4.8,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc05-cap01-ws03,Finance-Reporting,southcentralus-dc05-cap01,southcentralus,Data Warehouse,29.7,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc05-cap01-ws04,Data-Platform,southcentralus-dc05-cap01,southcentralus,Data Science,23.6,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc06-cap01-ws01,Product-Analytics,southcentralus-dc06-cap01,southcentralus,Data Warehouse,86.6,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc06-cap01-ws02,Sales-BI,southcentralus-dc06-cap01,southcentralus,Real-Time Intelligence,13.4,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc07-cap01-ws01,Data-Platform,southcentralus-dc07-cap01,southcentralus,Power BI,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc07-cap02-ws01,Product-Analytics,southcentralus-dc07-cap02,southcentralus,Real-Time Intelligence,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc07-cap03-ws01,Exec-Dashboards,southcentralus-dc07-cap03,southcentralus,Data Engineering,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc07-cap04-ws01,Data-Platform,southcentralus-dc07-cap04,southcentralus,Data Engineering,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc08-cap01-ws01,Exec-Dashboards,southcentralus-dc08-cap01,southcentralus,Data Engineering,46.9,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc08-cap01-ws02,Risk-Models,southcentralus-dc08-cap01,southcentralus,Power BI,1.4,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc08-cap01-ws03,Product-Analytics,southcentralus-dc08-cap01,southcentralus,Data Science,0.7,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc08-cap01-ws04,Pricing,southcentralus-dc08-cap01,southcentralus,Data Engineering,49.3,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc08-cap01-ws05,Finance-Reporting,southcentralus-dc08-cap01,southcentralus,Data Engineering,1.7,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc09-cap01-ws01,Exec-Dashboards,southcentralus-dc09-cap01,southcentralus,Data Science,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc09-cap02-ws01,Supply-Chain,southcentralus-dc09-cap02,southcentralus,Data Warehouse,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc09-cap03-ws01,Sales-BI,southcentralus-dc09-cap03,southcentralus,Data Engineering,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc09-cap04-ws01,Supply-Chain,southcentralus-dc09-cap04,southcentralus,Data Science,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc10-cap01-ws01,Product-Analytics,southcentralus-dc10-cap01,southcentralus,Data Factory,51.4,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc10-cap01-ws02,Field-Ops,southcentralus-dc10-cap01,southcentralus,Data Warehouse,48.6,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc01-cap01-ws01,Supply-Chain,centralindia-dc01-cap01,centralindia,Data Science,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc01-cap02-ws01,Risk-Models,centralindia-dc01-cap02,centralindia,Power BI,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc01-cap03-ws01,Product-Analytics,centralindia-dc01-cap03,centralindia,Power BI,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc01-cap04-ws01,Customer-360,centralindia-dc01-cap04,centralindia,Data Science,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc01-cap05-ws01,Pricing,centralindia-dc01-cap05,centralindia,Power BI,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc02-cap01-ws01,Customer-360,centralindia-dc02-cap01,centralindia,Data Science,55.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc02-cap01-ws02,Ops-Telemetry,centralindia-dc02-cap01,centralindia,Real-Time Intelligence,5.6,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc02-cap01-ws03,Finance-Reporting,centralindia-dc02-cap01,centralindia,Data Factory,5.5,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc02-cap01-ws04,Marketing-Analytics,centralindia-dc02-cap01,centralindia,Power BI,33.9,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc03-cap01-ws01,Finance-Reporting,centralindia-dc03-cap01,centralindia,Data Engineering,78.1,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc03-cap01-ws02,Pricing,centralindia-dc03-cap01,centralindia,Data Engineering,21.9,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc04-cap01-ws01,Sales-BI,centralindia-dc04-cap01,centralindia,Power BI,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc04-cap02-ws01,Sales-BI,centralindia-dc04-cap02,centralindia,Data Engineering,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc04-cap03-ws01,Exec-Dashboards,centralindia-dc04-cap03,centralindia,Data Warehouse,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc04-cap04-ws01,Supply-Chain,centralindia-dc04-cap04,centralindia,Data Warehouse,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc05-cap01-ws01,Product-Analytics,centralindia-dc05-cap01,centralindia,Data Factory,58.1,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc05-cap01-ws02,Data-Platform,centralindia-dc05-cap01,centralindia,Data Science,38.4,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc05-cap01-ws03,Field-Ops,centralindia-dc05-cap01,centralindia,Data Factory,3.5,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc06-cap01-ws01,Supply-Chain,centralindia-dc06-cap01,centralindia,Data Factory,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc06-cap02-ws01,Sales-BI,centralindia-dc06-cap02,centralindia,Data Engineering,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc06-cap03-ws01,Customer-360,centralindia-dc06-cap03,centralindia,Data Warehouse,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc07-cap01-ws01,Data-Platform,centralindia-dc07-cap01,centralindia,Data Warehouse,28.5,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc07-cap01-ws02,Supply-Chain,centralindia-dc07-cap01,centralindia,Data Warehouse,62.2,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc07-cap01-ws03,Supply-Chain,centralindia-dc07-cap01,centralindia,Real-Time Intelligence,3.3,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc07-cap01-ws04,Marketing-Analytics,centralindia-dc07-cap01,centralindia,Real-Time Intelligence,6.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc08-cap01-ws01,Supply-Chain,centralindia-dc08-cap01,centralindia,Data Engineering,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc08-cap02-ws01,Finance-Reporting,centralindia-dc08-cap02,centralindia,Power BI,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc09-cap01-ws01,Finance-Reporting,centralindia-dc09-cap01,centralindia,Data Engineering,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc09-cap02-ws01,Supply-Chain,centralindia-dc09-cap02,centralindia,Power BI,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc10-cap01-ws01,Data-Platform,centralindia-dc10-cap01,centralindia,Data Factory,9.9,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc10-cap01-ws02,Supply-Chain,centralindia-dc10-cap01,centralindia,Real-Time Intelligence,64.7,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
centralindia-dc10-cap01-ws03,Customer-360,centralindia-dc10-cap01,centralindia,Data Engineering,25.4,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc01-cap01-ws01,Product-Analytics,westeurope-dc01-cap01,westeurope,Data Factory,58.2,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc01-cap01-ws02,Finance-Reporting,westeurope-dc01-cap01,westeurope,Power BI,37.8,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc01-cap01-ws03,Product-Analytics,westeurope-dc01-cap01,westeurope,Data Science,4.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc02-cap01-ws01,Pricing,westeurope-dc02-cap01,westeurope,Data Factory,29.9,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc02-cap01-ws02,Supply-Chain,westeurope-dc02-cap01,westeurope,Data Science,1.3,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc02-cap01-ws03,Ops-Telemetry,westeurope-dc02-cap01,westeurope,Data Factory,21.9,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc02-cap01-ws04,Pricing,westeurope-dc02-cap01,westeurope,Data Science,22.9,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc02-cap01-ws05,Data-Platform,westeurope-dc02-cap01,westeurope,Power BI,24.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc03-cap01-ws01,Sales-BI,westeurope-dc03-cap01,westeurope,Real-Time Intelligence,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc03-cap02-ws01,Sales-BI,westeurope-dc03-cap02,westeurope,Data Warehouse,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc03-cap03-ws01,Data-Platform,westeurope-dc03-cap03,westeurope,Data Factory,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc03-cap04-ws01,Field-Ops,westeurope-dc03-cap04,westeurope,Data Engineering,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc03-cap05-ws01,Finance-Reporting,westeurope-dc03-cap05,westeurope,Data Warehouse,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc04-cap01-ws01,Finance-Reporting,westeurope-dc04-cap01,westeurope,Data Warehouse,19.1,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc04-cap01-ws02,Supply-Chain,westeurope-dc04-cap01,westeurope,Data Engineering,3.5,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc04-cap01-ws03,Marketing-Analytics,westeurope-dc04-cap01,westeurope,Data Factory,25.8,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc04-cap01-ws04,Finance-Reporting,westeurope-dc04-cap01,westeurope,Data Engineering,23.2,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc04-cap01-ws05,Ops-Telemetry,westeurope-dc04-cap01,westeurope,Real-Time Intelligence,28.4,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc05-cap01-ws01,Finance-Reporting,westeurope-dc05-cap01,westeurope,Power BI,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc05-cap02-ws01,Field-Ops,westeurope-dc05-cap02,westeurope,Real-Time Intelligence,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc05-cap03-ws01,Product-Analytics,westeurope-dc05-cap03,westeurope,Data Warehouse,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc05-cap04-ws01,Finance-Reporting,westeurope-dc05-cap04,westeurope,Data Engineering,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
westeurope-dc05-cap05-ws01,Data-Platform,westeurope-dc05-cap05,westeurope,Data Factory,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
